spCode,spName,gHabit,Categorization2,Categorization,Nat_Non,covertype,csprouting
ELEMON,Eleocharis_montevidensis,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
ELEPAL,Eleocharis_palustris,Forb,NativeForb,GRASS_Perennial,NATIVE,plant,non
ELYCON,Elymus_condensatus,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
ELYSPP,Elymus_species,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
EMMPEN,Emmenanthe_penduliflora,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ENCCAL,Encelia_californica,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ENCFAR,Encelia_farinosa,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ENCSPP(D),dead_Encelia,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
ENCSPP(D),Enecelia_species,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
EPICAN,Epilobium_canum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
EPISPP,Epilobium species,Forb,,,,plant,non
ERIBON,Erigeron bonariensis,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
ERICAM(D),dead_Ericameria,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
ERICON,Eriophyllum_confertiflorum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ERICRA,Eriodictyon_crassifolium,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ERIELO,Eriogonum_elongatum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ERIFAS,Eriogonum_fasciculatum,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ERIFAS(D),dead_Eriogonum_fasciculatum,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
ERIFOL,Erigeron_foliosus,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ERIODI(D),dead_Eriodictyon,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
ERIOGO(D),dead_Eriogonum,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
ERIOPH(D),dead_Eriophyllum,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
ERIPAL,Ericameria_palmeri,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ERIPIN,Ericameria_pinifolia,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ERISAP,Eriastrum sapphirinum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ERISPP1,Ericameria_species,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ERISPP2,Erigeron_species,Forb,NativeForb,FORB,NATIVE,plant,non
ERISPP3,Eriophyllum species,Forb,NativeForb,,NATIVE,plant,non
EROBOT,Erodium_botrys,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
EROBRA,Erodium_brachycarpum,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
EROCIC,Erodium_cicutarium,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
EROMOS,Erodium_moschatum,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
EROSPP,Erodium_species,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
EROSPP(D),dead_Erodium,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NONNATIVE,plant,non
ESCCAL,Escholzia_californica,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
EUCCHR,Eucrypta_chrysanthemifolia,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
EULCAL,Eulobus_californicus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
EUPALB,Euphorbia_albomarginata,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
EUPPEP,Euphorbia peplus,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
F,Fine woody debris,,,,,Gcover,non
FESARU,Festuca_arundinacea,Grass,NN_Grass,GRASS_Perennial,NONNATIVE,plant,non
FESMIC,Festuca microstachys,Grass,NativeGrass,GRASS_Annual,NATIVE,plant,non
FESMYU,Festuca_myuros,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
FESOCT,Festuca_octoflora,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
FESPER,Festuca_perennis,Grass,NN_Grass,GRASS_Perennial,NONNATIVE,plant,non
FESSPP,Festuca_species,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
FOEVUL,Foeniculum_vulgare,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
FORB(D),Dead_Forb,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NA,plant,non
FRIBIF,Fritillaria_biflora,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
FUNCYN,Funastrum_cynanchoides,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GALAND,Galium_andrewsii,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GALANG,Galium_angustifolium,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GALAPA,Galium_aparine,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
GALNUT,Galium_nuttallii,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GALPAR,Galium_parisiense,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
GALSPP,Galium_species,Forb,NativeForb,,NATIVE,plant,non
GALSPP(D),Dead_Galium,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
GASPHL,Gastridium_phleoides,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
GAZLIN,Gazania linearis,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
GERDIS,Geranium_dissectum,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
GILANG,Gilia_angelensis,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
GILCAP,Gilia_capitata,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
GILDIE,Gilia diegensis,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
GILSPP,Gilia species,Forb,,,,plant,non
GNASPP,Gnaphalium spp,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
GRASS(D),Dead_Grass,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NA,plant,non
GRICAM,Grindelia_camporum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GUTCAL,Gutierrezia_californica,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GUTSAR,Gutierrezia_sarothrae,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GUTSPP,Gutierrezia_species,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
GUTSPP(D),dead_Gutierrezia,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
HARPAL,Harpagonella_palmeri,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
HAZSPP(D),dead_Hazardia,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
HAZSQU,Hazardia_squarrosa,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
HEDCRE,Hedypnois_cretica,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
HELANN,Helianthus_annuus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
HELECH,Helminthotheca_echioides,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
HELGRA,Helianthus_gracilentus,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
HELSCO,Helianthemum_scoparium,Forb,NativeForb,SHRUB_Biennial,NATIVE,plant,non
HELSPP(D),dead_Helianthemum,Dead,Standing_Dead,SHRUB_Biennial,NATIVE,plant,non
HESFOR,Hesperocyparis forbesii ,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
HESSPP(D),dead_Hesperoyucca,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
HESWHI,Hesperoyucca_whipplei,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
HETARB,Heteromeles_arbutifolia,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
HETGRA,Heterotheca grandiflora,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
HETSPP(D),dead_Heteromeles,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
HIRINC,Hirschfeldia_incana,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
HORMUR,Hordeum_murinum,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
HORSPP,Hordeum species,Grass,,,,plant,non
HORVUL,Hordeum vulgare,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
HYPGLA,Hypochaeris_glabra,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
HYPSPP,Hypochaeris_species,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
ISOMEN,Isocoma_menziesii,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ISOSPP(D),dead_Isocoma,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
JEPPAR,Jepsonia parryi,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
JUNBAL,Juncus balticus,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
JUNSPP,Juncus_species,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
JUNXIP,Juncus_xiphioides,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
KECANT,Keckiella_antirrhinoides,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
KECCOR,Keckiella_cordifolia,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
KECSPP(D),dead_Keckiella,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
L,Litter,cover,Litter,SURFACE  LEVEL DEAD ORGANIC MATTER,.,Gcover,non
LACSER,Lactuca_serriola,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
LACSPP,Lactuca species,Forb,,,,plant,non
LAECOU,Laennecia_coulteri,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LAMAUR,Lamarckia_aurea,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
LASCAL,Lasthenia_californica,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LASCOR,Lasthenia coronaria,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LASGRA,Lasthenia_gracilis,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LATVES,Lathyrus vestitus,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
LAYPLA,Layia_platyglossa,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LEPNIT,Lepidium_nitidum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LEPSPP,Lepidium_species,Forb,,FORB_Annual,.,plant,non
LINCAN,Nuttallanthus_texanus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LINDIA,Linanthus dianthiflorus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LINSPP,Linanthus_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LOGARI,Logfia arizonica,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LOGFIL,Logfia_filanginoides,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LOGGAL,Logfia_gallica,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
LOGSPP,Logfia species,,,,,plant,non
LOLSPP(D),dead_Lolium,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NONNATIVE,plant,non
LOLSPP(D),Lolium_species,Grass,NN_Grass,GRASS,NONNATIVE,plant,non
LOMLUC,Lomatium lucidum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
LOMSPP,Lomatium species,Forb,,,,plant,non
LONSUB,Lonicera_subspicata,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
LOTCOR,Lotus corniculatus,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
LOTSPP,Lotus_species,Forb,Forb,FORB_Annual,NA,plant,non
LUPAGA,Lupinus concinnus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LUPBIC,Lupinus_bicolor,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LUPHIR,Lupinus_hirsutissimus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LUPMIC,Lupinus microcarpus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LUPSPA,Lupinus_sparsiflorus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LUPSPP,Lupinus_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LUPSUC,Lupinus_succulentus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LUPTRU,Lupinus_truncatus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
LYSARV,Lysimachia_arvensis,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
M,Moss,Forb,CRUST,Non Vascular SURFACE VEGETATION,,Gcover,non
MALFAS,Malacothamnus_fasciculatus,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
MALFAS(D),dead_Malacothamnus_fasciculatus,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
MALLAU,Malosma_laurina,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
MALNUS(D),dead_Malacothamnus,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
MALPAR,Malva_parviflora,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
MALRIX(D),dead_Malacothrix,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
MALSAX,Malacothrix_saxatilis,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
MALSMA(D),dead_Malosma,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
MARMAC,Marah_macrocarpa,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
MARVUL,Marrubium_vulgare,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
MEDPOL,Medicago_polymorpha,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
MEDSPP,Medicago_species,Forb,NN_Forb,FORB,NONNATIVE,plant,non
MEDTRU,Medicago truncatula,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
MELIMP,Melica_imperfecta,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
MELIND,Melilotus_indicus,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
MELSPP,Melilotus species,Forb,NN_Forb,,NONNATIVE,plant,non
MICCAL,Micropus_californicus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
MICLIN,Microseris_lindleyi,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
MIMAUR,Mimulus_aurantiacus,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
MIMSPP(D),dead_Mimulus,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
MIRLAE,Mirabilis_laevis,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
MUHMIC,Muhlenburgia_microsperma,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
MUHRIG,Muhlenbergia_rigens,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
MUHSPP,Muhlenbergia species,Grass,,,,plant,non
MUIMAR,Muilla maritima,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
NASLEP,Stipa_lepida,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
NASPUL,Stipa_pulchra,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
NICGLA,Nicotiana_glauca,Shrub,NN_Shrub,SHRUB_Perennial,NONNATIVE,plant,non
NOLCIS,Nolina_cismontana,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
NOLSPP,Nolina_species,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
OENSAR,Oenanthe_sarmentosa,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
OPULIT,Opuntia_littoralis,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
OPUORI,Opuntia_oricola,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
OPUSPP(D),dead_Opuntia,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
OSMTEN,Osmadenia_tenella,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
OXAALB,Oxalis_albicans,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
OXAPES,Oxalis_pes-caprae,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
OXASPP,Oxalis_species,Forb,Forb,,,plant,non
PECLIN,Pectocarya_linearis,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PELMUR,Pellaea_mucronata,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
PENCLA,Pennisetum_clandestinum,Grass,NN_Grass,GRASS_Perennial,NONNATIVE,plant,non
PENSPE,Penstemon spectabilis,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
PENTRI,Pentagramma_triangularis,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
PHACAM,Phacelia campanularia,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PHACIC,Phacelia_cicutaria,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PHADIS,Phacelia distans,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PHAPAR,Phacelia_parryi,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PHARAM,Phacelia ramosissima,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
PHASPP,Phacelia_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PHOAUR,Pholistoma_auritum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLACAL,Platystemon_californicus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLACAN,Plagiobothrys canescens,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLACOL,Plagiobothrys_collinus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLAERE,Plantago_erecta,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLANOT,Plagiobothrys_nothofulvus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLAOVA,Plantago_ovata,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLAPAT,Plantago patagonica,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
PLASPP,Plagiobothrys_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
