spCode,spName,gHabit,Categorization2,Categorization,Nat_Non,covertype,csprouting
SONASP,Sonchus_asper,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
SONOLE,Sonchus_oleraceus,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
SONSPP,Sonchus_species,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
STEDIE,Stephanomeria_diegensis,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
STEEXI,Stephanomeria exigua,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
STEMED,Stellaria_media,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
STENIT,Stellaria_nitens,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
STESPP1,Stellaria_species,Forb,Forb,FORB_Annual,.,plant,non
STESPP2,Stephanomaria_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
STICOR,Stipa coronata,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
STIMIL,Stipa_miliacea,Grass,NN_Grass,GRASS_Perennial,NONNATIVE,plant,non
STISPE,Stipa_speciosa,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
STISPP,Stipa_species,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
TAROFF,Taraxacum_officinale,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
TAUARG,Tauschia arguta,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
TAUSPP,Tauschia species,Forb,NativeForb,,NATIVE,plant,non
TH,Thatch,,Litter,,,Gcover,non
THYLAC,Thysanocarpus laciniatus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
TOXDIV,Toxicodendron_diversilobum,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
TOXFRE,Toxicoscordion_fremontii,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
TRIALB,Trifolium_albopurpureum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
